시군명,지식산업센터명칭,위도,경도,소재지지번주소,소재지도로명주소,용도지역,부지면적(㎡),건축면적(㎡),층수(지하/지상),공장시설면적(㎡),기타산업시설면적(㎡),지원시설면적(㎡),공동시설면적(㎡),유치가능업체수,입주업체수,입주율,공장동수,분양형태,공사진행상황,허가일자,착공일자,준공일자,사용승인일,사업자등록번호,데이터기준일자,전화번호,비고
안양시,관양두산벤처다임,37.4018706,126.9667606,경기도 안양시 동안구 관양동 1307-37 관양 두산 벤처다임,경기도 안양시 동안구 학의로 250,일반공업,6035.9,30355.45,B1/11,28859,,1496.45,,49,,0,1,분양,준공,2006-05-18,2006-06-01,2007-10-12,2007-10-12,,2023-08-02,031-596-6990,
안양시,금강펜테리움IT타워,37.4008743,126.9691351,경기도 안양시 동안구 관양동 810 금강펜테리움 IT 타워,경기도 안양시 동안구 학의로 282,일반공업,16613.4,132785.13,B3/22,120097,,12688.13,,400,,0,1,분양,준공,2008-12-22,2009-04-27,2011-12-09,2011-12-09,,2023-08-02,031-463-1115,
안양시,금정역 2차 SK V1 tower,37.3736513,126.9476359,경기도 안양시 동안구 호계동 555-2번지,경기도 안양시 동안구 엘에스로 136,준공업,10719.9,72915.77,B2/20,66939.49,,5976.28,,91,,0,1,분양,건설중,,,,,,2023-08-02,031-477-8850,
안양시,금정역 3차 SK V1 TOWER,37.3745754,126.9491709,경기도 안양시 동안구 호계동 555-26번지,,준공업,8717.7,56049.76,B2/10,53407.72,,2642.04,,377,,0,1,,건설중,,,,,,2023-08-02,,
안양시,대륭테크노타운 15차,37.3970909,126.9747261,경기도 안양시 동안구 관양동 224-5 대륭테크노타운15차,경기도 안양시 동안구 시민대로 401,일반공업,11448.7,101474.59,B3/21,82120,,19354.59,,242,,0,1,분양,준공,2008-12-22,2009-01-05,2010-09-28,2010-09-28,,2023-08-02,031-8040-9976,
안양시,동영벤처스텔 3차,37.3852304,126.9357442,경기도 안양시 만안구 안양동 202-4 동영벤처스텔,경기도 안양시 만안구 덕천로 45,일반공업,1764.2,7170.96,B1/8,6142,,1028.96,,16,,0,1,분양,준공,2001-04-23,2001-05-06,2001-12-07,2001-12-07,,2023-08-02,031-468-3171,
안양시,동영벤처스텔 5차,37.3878169,126.9394488,경기도 안양시 만안구 안양동 199-32 동영벤처스텔,경기도 안양시 만안구 덕천로72번길 72,일반공업,5289.3,22706.94,B1/8,21729,,977.94,,48,,0,1,분양,준공,2002-07-10,2002-07-20,2003-07-01,2003-07-01,,2023-08-02,031-468-1837,
안양시,동일테크노타운,37.3839263,126.9362222,경기도 안양시 만안구 안양동 202-6 동일테크노타운,경기도 안양시 만안구 덕천로 33,일반공업,1959.2,9926.77,B2/7,9820,,106.77,,26,,0,1,분양,준공,1996-02-06,1996-02-13,1996-12-02,1996-12-02,,2023-08-02,031-445-3523,
안양시,동일테크노타운 7차,37.4002991,126.9703328,경기도 안양시 동안구 관양동 823 동일테크노타운7차,경기도 안양시 동안구 벌말로 140,일반공업,3879,16684.4,B1/8,16480,,204.4,,45,,0,1,분양,준공,1996-10-18,1996-10-30,1997-09-10,1997-09-10,,2023-08-02,031-424-4845,
안양시,동일테크노타운 A,37.397629,126.9710664,경기도 안양시 동안구 관양동 889-3,경기도 안양시 동안구 벌말로102번길 42,일반공업,1175.35,6539.34,B3/7,6163,,376.34,,12,,0,1,분양,준공,1995-03-02,,1995-09-20,1995-09-20,,2023-08-02,031-424-9604,
안양시,동일테크노타운 B,37.3981856,126.9704067,경기도 안양시 동안구 관양동 889,경기도 안양시 동안구 시민대로365번길 39,일반공업,1839,8695.87,B2/8,8246,,449.873,,24,,0,1,분양,준공,1995-05-23,1995-05-25,1995-12-19,1995-12-19,,2023-08-02,031-422-9042,
안양시,동일테크노타운 C,37.3981885,126.9709173,경기도 안양시 동안구 관양동 889-1 동일테크노타운,경기도 안양시 동안구 시민대로365번길 40,일반공업,4315,22185.08,B2/7,21854,,331.08,,61,,0,1,분양,준공,1995-11-15,1995-11-27,1996-09-23,1996-09-23,,2023-08-02,031-423-2190,
안양시,두림야스카와㈜안양사옥,37.3722336,126.9493825,경기도 안양시 동안구 호계동 555-15 두림야스카와,경기도 안양시 동안구 엘에스로 112,준공업,2833.5,16950.46,B3/8,13019.26,,3931.2,,20,,0,1,분양,준공,2016-05-19,2016-08-18,2017-12-29,2017-12-29,,2023-08-02,031-357-0350,
안양시,두산 명학 아너비즈타워,37.3879293,126.9385433,경기도 안양시 만안구 안양동 199 두산명학 아너비즈타워,경기도 안양시 만안구 전파로44번길 57,일반공업,6611.6,45627.05,B3/11,34983.79,,10643.26,,145,,0,1,분양,준공,2018-11-27,2019-02-18,2021-05-27,2021-05-27,,2023-08-02,031-5177-6500,
안양시,두산벤처다임,37.3913072,126.9729825,경기도 안양시 동안구 평촌동 126-1 두산벤처다임,경기도 안양시 동안구 흥안대로 415,일반공업,22729.7,114260.17,B1/12,99746,,14514.17,,280,,0,1,분양,준공,2004-09-03,2004-09-23,2006-03-28,2006-03-28,,2023-08-02,031-478-3114,
안양시,디지털엠파이어 A동,37.3967944,126.9732618,경기도 안양시 동안구 관양동 906-1 디지털 엠파이어,경기도 안양시 동안구 시민대로 387,일반공업,3018.6,20415.82,B3/13,9028,,11387.82,,35,,0,1,분양,준공,2010-02-22,2010-03-26,2011-12-26,2011-12-26,,2023-08-02,031-8086-7699,
안양시,디지털엠파이어 B동,37.396804,126.9724216,경기도 안양시 동안구 관양동 906-4 디지털 엠파이어,경기도 안양시 동안구 시민대로 383,일반공업,3982.5,25052.09,B3/13,11747,,13305.09,,52,,0,1,분양,준공,2010-02-22,2010-03-26,2011-12-26,2011-12-26,,2023-08-02,031-8086-7699,
안양시,명지e스페이스,37.3841096,126.9368404,경기도 안양시 만안구 안양동 218 명지e스페이스,경기도 안양시 만안구 덕천로 34,일반공업,3066.5,13174.77,B1/8,12292,,882.77,,25,,0,1,분양,준공,2002-09-16,2002-10-17,2003-11-19,2003-11-19,,2023-08-02,031-448-1152,
안양시,박달동 하이테크 지식산업센터,37.4049938,126.8903568,경기도 안양시 박달동 617-12외 4,,준공업,6990,70778.6,B4/14,68390.4,,2388.2,,250,,0,1,,건설중,,,,,,2023-08-02,,
안양시,성일디지털타워,37.3830535,126.9382122,경기도 안양시 만안구 안양동 219-9 성일디지털타워,경기도 안양시 만안구 시민대로 34,일반공업,1444.6,7482.14,B2/6,7170,,312.14,,16,,0,1,분양,준공,2002-04-29,2002-06-07,2003-03-26,2003-03-26,,2023-08-02,031-466-4511,
안양시,스마트베이2차,37.3980409,126.971475,경기도 안양시 동안구 관양동 891 안양 스마트베이2,경기도 안양시 동안구 벌말로102번길 49,일반공업,1654,8097.76,B2/13,5979.66,,2118.1,,45,,0,1,분양,준공,2018-03-27,2018-05-14,2019-10-30,2019-10-30,,2023-08-02,031-425-8111,
안양시,신원비젼타워,37.3894004,126.9425843,경기도 안양시 동안구 호계동 898 신원비젼타워,경기도 안양시 동안구 전파로 88,일반공업,6504.6,33834.55,B1/8,26989,,6845.55,,73,,0,1,분양,준공,2003-12-19,2004-10-08,2007-03-28,2007-03-28,,2023-08-02,031-478-8980,
안양시,아이에스비즈타워,37.391264,126.9716619,경기도 안양시 동안구 평촌동 160-1 평촌역 아이에스비즈타워,경기도 안양시 동안구 흥안대로427번길 57-2,일반공업,8582.2,57607.6,B3/15,44008.31,,13599.29,,302,,0,1,분양,준공,2016-03-16,2016-04-22,2018-03-08,2018-03-08,,2023-08-02,031-8091-3119,
안양시,안양 SK V1센터,37.3743293,126.9484162,경기도 안양시 동안구 호계동 555-42 안양 SK V1 center,경기도 안양시 동안구 엘에스로116번길 25-32,준공업,8717.4,63763.8,B3/10,58781.51,,4982.29,,332,,0,1,분양,준공,2016-08-09,2016-10-27,2018-10-26,2018-10-26,,2023-08-02,031-990-6500,
안양시,안양 아이에스비즈타워 센트럴,37.3925518,126.9386943,경기도 안양시 만안구 안양동 1432 안양아이에스BIZ타워센트럴,경기도 안양시 만안구 덕천로152번길 25,일반공업,24777.6,216284.98,B2/28,187433.96,,28851.02,,1228,,0,1,분양,준공,2019-01-28,2019-03-26,2022-01-06,2022-01-06,,2023-08-02,031-420-5000,
안양시,안양2차 SK V1센터,37.3750981,126.9477309,경기도 안양시 동안구 호계동 555-34 안양2차 SK V1 center,경기도 안양시 동안구 엘에스로116번길 118,준공업,6932.9,51150.67,B3/10,47808,,3342.67,,298,,0,1,분양,준공,2018-11-29,2018-12-24,2020-12-23,2020-12-23,,2023-08-02,031-5175-1000,
안양시,안양IT밸리,37.3709384,126.9481681,경기도 안양시 동안구 호계동 1027 안양IT밸리,경기도 안양시 동안구 엘에스로91번길 16-39,일반공업,5764,29505.52,B1/12,14002,,15503.52,,80,,0,1,분양,준공,2008-05-07,2008-05-28,2009-11-27,2009-11-27,,2023-08-02,031-343-0114,
안양시,안양데시앙플렉스,37.3728598,126.9488463,경기도 안양시 동안구 호계동 555-45 호계 데시앙플렉스,경기도 안양시 동안구 엘에스로 122,일반공업,6715.2,41036.21,B2/10,33769.89,,7266.32,,235,,0,1,분양,준공,2017-11-05,2018-01-02,2019-10-30,2019-10-30,,2023-08-02,031-8033-0100,
안양시,안양동 219-2 지식산업센터,37.3830004,126.9377265,경기도 안양시 만안구 안양동 219-2,,일반공업,2472.8,1729.82,B4/11,19590.56,,1059.73,,143,,0,1,,건설중,,,,,,2023-08-02,,
안양시,안양디오밸리,37.3716186,126.9521059,경기도 안양시 동안구 호계동 555-9 국제유통단지 가동,경기도 안양시 동안구 엘에스로 76,준공업,25525,65560.07,B2/6,48442,,17118.07,,181,,0,1,분양,준공,1995-05-13,2004-09-15,2005-09-28,2005-09-28,,2023-08-02,031-479-3003,
안양시,안양메가밸리,37.4014945,126.9676844,경기도 안양시 동안구 관양동 799 메가밸리,경기도 안양시 동안구 학의로 268,일반공업,17694,92376.05,B2/8,84308,,8068.05,,166,,0,1,분양,준공,2002-10-05,2001-11-03,2003-05-19,2003-05-19,,2023-08-02,031-420-4330,
안양시,어반 플렉스 지식산업센터,37.3969957,126.9734424,경기도 안양시 동안구 관양동 905-1,,일반공업,1600,8272.58,B1/13,8272.58,,539.55,,60,,0,1,,건설중,,,,,,2023-08-02,,
안양시,에이스 하이테크 시티 평촌,37.3946823,126.9735985,경기도 안양시 동안구 관양동 911,경기도 안양시 동안구 흥안대로 457-27,일반공업,6508.7,44321.73,B2/15,32983.98,,11337.75,,193,,0,1,분양,준공,2018-10-15,2019-05-08,2021-07-29,2021-07-29,,2023-08-02,031-599-2525,
안양시,에이스평촌타워,37.396755,126.9699311,경기도 안양시 동안구 관양동 883 에이스평촌타워,경기도 안양시 동안구 시민대로 361,일반공업,8538.8,47855.03,B3/15,31540,,16315.03,,110,,0,1,분양,준공,2010-03-26,2010-04-19,2012-03-20,2012-03-20,,2023-08-02,031-345-8114,
안양시,에이스하이테크시티 범계,37.3871783,126.9435971,경기도 안양시 동안구 호계동 900 에이스하이테크시티 범계,경기도 안양시 동안구 시민대로109번길 29,일반공업,7686.2,54794.1,B3/21,44270.7,,10523.4,,258,,0,1,분양,준공,2018-07-05,2018-09-28,2021-03-03,2021-03-03,,2023-08-02,031-423-4773,
안양시,유천팩토피아,37.3900468,126.9360049,경기도 안양시 만안구 안양동 196 유천팩토피아,경기도 안양시 만안구 전파로 30(안양동),일반공업,13650,72468.29,B3/8,63845,,8623.29,,182,,0,1,분양,준공,1990-08-31,1990-12-20,1992-10-31,1992-10-31,,2023-08-02,031-467-3000,
안양시,인덕원 LDC 비즈타워,37.3924426,126.9706212,경기도 안양시 동안구 관양동 945-11번지외 2필지,,일반공업,4917.9,34114.15,B3/10,32810.42,,1303.73,,273,,0,1,,건설중,,,,,,2023-08-02,,
안양시,인덕원성지스타위드,37.3929653,126.9723539,경기도 안양시 동안구 관양동 954-6 인덕원성지스타위드,경기도 안양시 동안구 흥안대로427번길 38,일반공업,8667.2,52148.83,B2/15,48699,,3449.83,,242,,0,1,분양,준공,2008-09-03,2008-09-25,2010-08-30,2010-08-30,,2023-08-02,031-345-6114,
안양시,인덕원역 AK 밸리 지식산업센터,37.394382,126.9743781,"경기도 안양시 동안구 평촌동119,119-5, 87-6, 88-3 ~ 5",,일반공업,4938.5,30831.85,B2/15,27651.14,,3180.71,,70,,0,1,,건설중,,,,,,2023-08-02,,
안양시,인덕원역 더리브 디하우트,37.3960213,126.9747961,경기도 안양시 동안구평촌동 82번지,,일반공업,5402,36230.85,B4/13,27769.85,,8461,,210,,0,1,분양,건설중,,,,,,2023-08-02,,
안양시,평촌디지털엠파이어,37.3929852,126.973774,경기도 안양시 동안구 관양동 954-1 평촌디지털엠파이어,경기도 안양시 동안구 흥안대로427번길 16,일반공업,7898.9,51145.16,B3/13,46758.18,,4386.98,,288,,0,1,분양,준공,2015-12-30,2015-12-31,2018-02-12,2018-02-12,,2023-08-02,031-8069-5000,
안양시,평촌스마트베이,37.3994632,126.9682866,경기도 안양시 동안구 관양동 792-2 평촌스마트베이,경기도 안양시 동안구 벌말로 123,일반공업,7628.6,46561.18,B1/21,35252,,11309.18,,186,,0,1,분양,준공,2012-11-28,2013-01-08,2014-05-28,2014-05-28,,2023-08-02,031-426-9682,
안양시,평촌역 하이필드,37.394344,126.9700975,경기도 안양시 동안구 관양동 922 평촌역 하이필드,경기도 안양시 동안구 벌말로 66,일반공업,14674,94081.5,B2/17,66849.28,,27232.22,,390,,0,1,분양,준공,2016-07-19,2016-08-26,2018-11-15,2018-11-15,,2023-08-02,031-8084-9600,
안양시,평촌오비즈타워,37.3996895,126.970237,경기도 안양시 동안구 관양동 1802 평촌 오비즈타워,경기도 안양시 동안구 벌말로 126,일반공업,15047,124171.03,B3/35,51777,,72394.03,,330,,0,1,분양,준공,2012-02-02,2012-08-29,2014-12-26,2014-12-26,,2023-08-02,031-450-3110,
안양시,한국프라자,37.3703691,126.9508565,경기도 안양시 동안구 호계동 1029-6,경기도 안양시 동안구 엘에스로 91,일반공업,945.6,3992.95,B1/5,3058,,934.95,,7,,0,1,분양,준공,2003-02-12,2003-03-04,2003-10-08,2003-10-08,,2023-08-02,031-429-4296,
안양시,호계 금정역 SK V1 센터,37.3743086,126.9468936,경기도 안양시 동안구 호계동 555-37 호계 금정역 SK V1 center,경기도 안양시 동안구 엘에스로 142,준공업,8482.9,55373.23,B2/10,51772.63,,3600.6,,152,,0,1,분양,준공,2018-09-11,2018-11-22,2020-08-24,2020-08-24,,2023-08-02,031-477-9952,
안양시,호계동 1029-4 지식산업센터,37.3698864,126.9503526,경기도 안양시 동안구 호계동 1029-4번지,,일반공업,2328.2,15321.61,B2/9,14402.77,,918.84,,40,,0,1,,건설중,,,,,,2023-08-02,,
부천시,(주)두성기계연구,37.5114223,126.7841177,경기도 부천시 도당동 99-9번지,경기도 부천시 도약로307번길 22 (도당동),일반공업,595,1559.72,B0/4,1439.88,,152,,6,,0,1,분양,사용승인,,,,2005-05-31,,2023-02-02,,
부천시,(주)아이에스인터내셔날,37.5279542,126.7755549,경기도 부천시 오정동 810-1번지,경기도 부천시 신흥로511번길 13-39 (오정동),준주거,2784,3993.1,B0/5,3794.92,,198.18,,11,,0,1,분양,사용승인,,,,2019-10-24,,2023-02-02,,
부천시,BK테크노밸리,37.5279542,126.7755549,경기도 부천시 오정동 810-1번지,경기도 부천시 오정동 810-1번지,준주거,2784,4114.4,B0/5,4111.4,,0,,9,,0,1,분양,사용승인,,,,2019-10-24,,2023-02-02,,
부천시,고산테크노타운,37.511361,126.7844022,경기도 부천시 도당동 99-1번지,"경기도 부천시 부천로 307 (도당동, 고산테크노밸리)",일반공업,990,3775.74,B1/5,1614.27,,1899.33,,11,,0,1,분양,사용승인,,,,2005-05-27,,2023-02-02,,
부천시,광양프런티어밸리5차지식산업센터,37.5091468,126.7763592,경기도 부천시 약대동 177,"경기도 부천시 양지로 237 (옥길동, 광양프런티어밸리 5차 지식산업센터)",준주거,5107.9,36421.33,B2/10,31417.02,,5004.31,,100,,0,1,분양,사용승인,,,,2022-01-26,,2023-02-02,,
부천시,괴안동 아파트형 공장,37.4879061,126.819,경기도 부천시 괴안동 190-14번지,"경기도 부천시 경인로 579 (괴안동, 대원빌딩)",주거,905,2259.75,B0/4,1166,,132,,,,#DIV/0!,2,분양,사용승인,,,,2005-03-04,,2023-02-02,,
부천시,구심이엔지,37.5141143,126.7762027,경기도 부천시 도당동 222-41번지,경기도 부천시 수도로 88-26 (도당동),일반공업,913,3878.9,B1/6,3878.9,,0,,7,,0,1,분양,사용승인,,,,2018-10-22,,2023-02-02,,
부천시,남성산업(주),37.4833695,126.7660542,경기도 부천시 송내동 387-18번지,경기도 부천시 경인로92번길 15 (송내동),준공업,1605,2438.2,B0/4,1795.84,,309.95,,6,,0,1,분양,사용승인,,,,2007-09-20,,2023-02-02,,
부천시,뉴테크노타운,37.5260669,126.7804091,경기도 부천시 내동 212-28번지,"경기도 부천시 오정로 183-9 (내동, 뉴테크노타운)",일반공업,992,3638.7,B1/6,1918.4,,1717.13,,12,,0,1,분양,사용승인,,,,2003-12-30,,2023-02-02,,
부천시,다온테크노벨리,37.5284778,126.7760151,경기도 부천시 오정동 808-4번지,경기도 부천시 신흥로511번길 13-34 (오정동),준주거,1043,3886.33,B1/6,2960.39,,925.94,,0,,#DIV/0!,1,분양,사용승인,,,,2007-03-28,,2023-02-02,,
부천시,다우테크노타운,37.5229203,126.7870117,경기도 부천시 내동 344번지,"경기도 부천시 삼작로233번길 57 (내동, 다우테크노타운)",주거,2437,7970.49,B1/6,5733.04,,2237.46,,28,,0,1,분양,사용승인,,,,2002-07-26,,2023-02-02,,
부천시,다우테크노타운Ⅱ,37.5182915,126.7809064,경기도 부천시 내동 196번지,"경기도 부천시 옥산로 276-1 (내동, 다우테크노타운Ⅱ)",일반공업,1044,4058.8,B1/6,2627.1,,1365.92,,28,,0,1,분양,사용승인,,,,2003-05-10,,2023-02-02,,
부천시,대우테크노타운,37.4848822,126.7704387,경기도 부천시 송내동 558번지,경기도 부천시 경인로133번길 14 (송내동),준주거,1388,4013.54,B1/15,3045.5,,968.04,,483,,0,1,분양,사용승인,,,,1980-06-16,,2023-02-02,,
부천시,대우테크노파크,37.5113958,126.7785267,경기도 부천시 도당동 187-7번지,"경기도 부천시 도약로 261 (도당동, 부천대우테크노파크)",일반공업,27607,126847.95,B1/15,117008,,9265.45,,483,,0,4,분양,사용승인,,,,2006-07-13,,2023-02-02,,
부천시,덕성테크노밸리,37.466214,126.8127809,경기도 부천시 옥길동 775-3번지,경기도 부천시 범안로219번길 87 (옥길동),준주거,2701,10226.6,B1/6,8807,,1658.16,,10,,0,1,분양,사용승인,,,,2016-11-17,,2023-02-02,,
부천시,디클래스I,37.5197088,126.7832718,경기도 부천시 내동 263-1번지,경기도 부천시 부천로397번길 26 (내동),일반공업,490,1326.32,B0/4,1151.56,,174.76,,6,,0,1,분양,사용승인,,,,2018-05-14,,2023-02-02,,
부천시,부천콘텐츠센터,37.4821378,126.761625,경기도 부천시 송내동 398-4번지,경기도 부천시 경인로60번길 40 (송내동),제2종일반주거,4671,3058.69,B1/4,1098.616,,1434.734,,26,,0,1,임대,사용승인,,,,1985-07-15,,2023-02-02,,
부천시,부천테크노밸리 U1 Center,37.5008157,126.7901847,경기도 부천시 원미동 39-1번지,경기도 부천시 조마루로385번길 96 (원미동),준공업,10635,104779.18,B3/20,100140.64,,6638.54,,350,,0,1,분양,사용승인,,,,2021-06-21,,2023-02-02,,
부천시,부천테크노파크1단지,37.518969,126.7624572,경기도 부천시 삼정동 364번지 부천테크노파크,"경기도 부천시 삼작로 22, 부천테크노파크 (삼정동)",근린상업,32451,74787.42,B1/9,69871.72,,4915.7,,400,,0,4,분양,사용승인,,,,2000-04-30,,2023-02-02,,
부천시,부천테크노파크2단지,37.5169525,126.7624134,경기도 부천시 약대동 192번지 부천테크노파크,"경기도 부천시 송내대로 388, 부천테크노파크 (약대동)",근린상업,31790,89106.19,B1/15,69782.15,,19324.04,,450,,0,4,분양,사용승인,,,,2000-10-24,,2023-02-02,,
부천시,부천테크노파크쌍용3차,37.5229917,126.7667583,경기도 부천시 삼정동 36-1번지,경기도 부천시 석천로 397 (삼정동),일반공업,73273,330282.12,B1/13,315161.09,,15121.05,,13,,0,13,분양,사용승인,,,,2007-12-05,,2023-02-02,,
부천시,부천테크노파크제3공장,37.5189834,126.7641052,경기도 부천시 삼정동 365번지 외 1필지,"경기도 부천시 석천로 345 (삼정동, 부천테크노파크) 외 1필지",근린상업,42937,122080.74,B1/9,102124.2,,19956.54,,400,,0,5,분양,사용승인,,,,2004-03-29,,2023-02-02,,
부천시,부천테크노파크제4공장,37.5168284,126.7641856,경기도 부천시 약대동 193번지,"경기도 부천시 평천로 655 (약대동, 부천 테크노파크)",근린상업,26521,77056.96,B1/15,74492.54,,2270.82,,400,,0,4,분양,사용승인,,,,2004-03-26,,2023-02-02,,
부천시,비즈타워,37.5127833,126.7759907,경기도 부천시 도당동 222-12번지,경기도 부천시 정주로 94 (도당동),일반공업,2579,13358.95,B2/7,9366.96,,4011.29,,65,,0,1,분양,사용승인,,,,2019-08-20,,2023-02-02,,
부천시,삼보테크노타워,37.5016088,126.7915811,경기도 부천시 춘의동 195번지,경기도 부천시 조마루로385번길 122 (춘의동),준공업,19410,181159.81,B4/27,170755.24,,10404.57,,806,,0,1,분양,사용승인,,,,2018-04-25,,2023-02-02,,
부천시,삼아벤처타운,37.5109295,126.7812052,경기도 부천시 도당동 163-15번지 외 2필지,"경기도 부천시 도약로 287 (도당동, 부천테크노월드) 외 2필지",일반공업,3124,11740.4,B1/6,7494.5,,4227.9,,26,,0,1,분양,사용승인,,,,2004-08-09,,2023-02-02,,
부천시,서림테크노파크 3차,37.4992325,126.7924322,경기도 부천시 원미동 4-9번지,경기도 부천시 원미로 187 (원미동),준공업,1319,5518.28,B4/8,5518.28,,0,,6,,0,1,분양,사용승인,,,,2017-12-14,,2023-02-02,,
부천시,서림테크노파크II,37.5103152,126.7842901,경기도 부천시 도당동 253-1번지,경기도 부천시 부천로 295 (도당동),일반공업,1338,7002.16,B2/6,3858.8,,3662.56,,43,,0,1,분양,사용승인,,,,2016-12-25,,2023-02-02,,
부천시,서림테크노파크Ⅰ,37.5023116,126.7880757,경기도 부천시 춘의동 165-1번지,경기도 부천시 부천로198번길 27 (춘의동),준공업,2854,21353.06,B4/8,8867.8,,3216.83,,82,,0,1,분양,사용승인,,,,2016-07-22,,2023-02-02,,
부천시,서영 아너시티2,37.4680489,126.8240194,경기도 부천시 옥길동 793-2 외 1필지,경기도 부천시 양지로 205 (옥길동) 외 1필지,준주거,5255.8,31890.06,B3/10,22346.939,,9517.16,,301,,0,1,분양,사용승인,,,,2020-07-20,,2023-02-02,,
부천시,송내테크노밸리,37.4863129,126.7539019,경기도 부천시 송내동 299-5번지 외 1필지,경기도 부천시 송내대로30번길 13 (송내동) (총 2 필지) 외 1필지,준공업,3278,14866.28,B1/7,7986.65,,6879.63,,37,,0,1,분양,사용승인,,,,2003-10-11,,2023-02-02,,
부천시,송림벨리타운,37.5284664,126.7753911,경기도 부천시 오정동 808-2번지,경기도 부천시 신흥로511번길 13-42 (오정동),준주거,1477,4732.58,B1/7,4085.6,,646.98,,9,,0,1,분양,사용승인,,,,2017-09-28,,2023-02-02,,
부천시,신중동 더퍼스트 지식산업센터,37.5091468,126.7763592,경기도 부천시 약대동 177,경기도 부천시 정주로 53 (약대동),일반공업,4129,29045.39,B1/13,20342.504,,8702.886,,135,,0,1,분양,사용승인,,,,2021-02-04,,2023-02-02,,
부천시,신한테크노벨리,37.527958,126.7764236,경기도 부천시 오정동 810-3번지,경기도 부천시 신흥로511번길 13-23 (오정동),준주거,1524,4507.25,B0/5,3949.9,,567.1,,6,,0,1,분양,사용승인,,,,2017-03-29,,2023-02-02,,
부천시,옥길지식산업센터,37.4649379,126.8125791,경기도 부천시 옥길동 775-7,경기도 부천시 범안로219번길 71(옥길동),준주거지역,3506.2,25209.49,B2/10,17859.69,,7349.8,,260,,0,1,분양,사용승인,,,,2023-01-11,,2023-02-02,,
부천시,와이엔벤처타운,37.5128954,126.7842534,경기도 부천시 도당동 95-2번지 와이엔벤처타운,"경기도 부천시 부천로 323 (도당동, y-제니스 파크)",일반공업,2828,14657.31,B2/7,6447.01,,8226.1,,35,,0,1,분양,사용승인,,,,2004-10-28,,2023-02-02,,
부천시,우성테크노파크,37.4676494,126.8252775,경기도 부천시 옥길동 794-1,경기도 부천시 부광로 220 (옥길동),준주거,5908,45554.4,B3/10,31885.61,,13661.95,,335,,0,1,분양,사용승인,,,,2020-11-03,,2023-02-02,,
부천시,우정테크노벨리,37.5284336,126.7748885,경기도 부천시 오정동 808-1번지,경기도 부천시 신흥로511번길 61 (오정동),준주거,2486,8578.95,B1/7,8578.95,,0,,7,,0,1,분양,사용승인,,,,2017-08-28,,2023-02-02,,
부천시,은성테크노,37.5137479,126.7756965,경기도 부천시 도당동 222-39번지,경기도 부천시 신흥로 338 (도당동),일반공업,1061,4515.35,B1/6,4191.99,,323.36,,14,,0,1,분양,사용승인,,,,2017-11-13,,2023-02-02,,
부천시,은하테크노,37.5279967,126.7760638,경기도 부천시 오정동 810-2번지,경기도 부천시 신흥로511번길 13-33 (오정동),준주거,1418,4210.3,B1/5,3338.1,,872.2,,8,,0,1,분양,사용승인,,,,2017-04-05,,2023-02-02,,
부천시,인철테크노밸리,37.5265573,126.7695938,경기도 부천시 삼정동 67-6번지 외 1필지,경기도 부천시 석천로 453 (삼정동) 외 1필지,일반공업,2780,11894.95,B1/6,8992.14,,2901.8,,30,,0,1,분양,사용승인,,,,2017-02-14,,2023-02-02,,
부천시,인철테크노밸리2차,37.5284582,126.7613112,경기도 부천시 삼정동 16-16번지,경기도 부천시 송내대로 506 (삼정동),일반공업,1344,5742.81,B1/6,5266.45,,476.36,,6,,0,1,분양,사용승인,,,,2018-09-28,,2023-02-02,,
부천시,춘의디아크원,37.5048233,126.7879967,경기도 부천시 춘의동 73-1 춘의 디아크원,"경기도 부천시 길주로411번길 20 (춘의동, 춘의 디아크원)",일반공업지역,4104.5,24365.24,B2/13,18945.33,,5419.91,,244,,0,1,분양,사용승인,,,,2022-12-14,,2023-02-02,,
부천시,춘의테크노타워,37.5003292,126.7894218,경기도 부천시 원미동 41-2번지,경기도 부천시 조마루로385번길 80 (원미동),준공업,3811,29262.22,B3/13,15198.93,,14063.29,,155,,0,1,분양,사용승인,,,,2016-09-09,,2023-02-02,,
부천시,춘의테크노파크,37.5015992,126.7893581,경기도 부천시 춘의동 200-1번지,"경기도 부천시 부천로198번길 36 (춘의동, 춘의테크노파크)",일반공업,13402,84738.41,B1/15,80470.5,,4486.86,,260,,0,3,분양,사용승인,,,,2005-10-18,,2023-02-02,,
부천시,춘의테크노파크Ⅱ,37.5014879,126.7879651,경기도 부천시 춘의동 202번지,"경기도 부천시 부천로198번길 18 (춘의동, 춘의테크노파크II)",준공업,12086,77450.69,B1/15,73884.36,,3566.33,,150,,0,2,분양,사용승인,,,,2006-10-27,,2023-02-02,,
부천시,한일테크노타워,37.5284763,126.7757334,경기도 부천시 오정동 808-3번지,경기도 부천시 신흥로511번길 13-38 (오정동),준주거,1042,4414.33,B1/7,3002.5,,1411.83,,10,,0,1,분양,사용승인,,,,2017-05-16,,2023-02-02,,
광명시,GIDC광명역,37.4228421,126.8869103,경기도 광명시 일직동 514,경기도 광명시 일직로 43,준주거,32864,269190,B5/29,,,,,1196,1196,1,3,분양,사용승인,,,,2021-11-12,,2023-06-20,,
광명시,광명G타워,37.4458249,126.8941425,경기도 광명시 소하동 1344,경기도 광명시 소하로 190,준주거,17255,156427,B4/15,,,,,710,710,1,1,분양,사용승인,,,,2022-04-18,,2023-06-20,,
